path,size,extension,access_time
C:/Users/Jelena/Downloads\02 Rad sa fajlovima i direktorijumima.pdf,118597,pdf,2024-03-31T10:22:35.378453
C:/Users/Jelena/Downloads\0u7oX.jpg,54921,jpg,2024-12-07T18:10:57.202655
C:/Users/Jelena/Downloads\1.docx,11431,docx,2024-05-16T22:50:01.005397
C:/Users/Jelena/Downloads\1.jpg,174929,jpg,2024-08-21T20:42:04.535489
C:/Users/Jelena/Downloads\1.png,636780,png,2024-08-21T20:42:04.576491
C:/Users/Jelena/Downloads\138.pdf,66930,pdf,2023-12-21T22:26:21.722799
C:/Users/Jelena/Downloads\17997.docx,1076095,docx,2024-05-16T22:48:26.097922
C:/Users/Jelena/Downloads\2.jpg,140189,jpg,2024-08-21T20:42:04.780493
C:/Users/Jelena/Downloads\20190929_144123 (1) (1).jpg,2950997,jpg,2024-12-07T18:10:46.451422
C:/Users/Jelena/Downloads\20190929_144123 (1) (2).jpg,2950997,jpg,2024-12-07T18:10:46.395424
C:/Users/Jelena/Downloads\20190929_144123 (1).jpg,2950997,jpg,2024-08-21T20:42:04.693482
C:/Users/Jelena/Downloads\20190929_144123.jpg,2950997,jpg,2024-08-21T20:42:04.781476
C:/Users/Jelena/Downloads\20190929_1441231.jpg,214603,jpg,2024-08-21T20:42:04.533488
C:/Users/Jelena/Downloads\20190929_1441231.png,438763,png,2024-08-21T20:42:04.586495
C:/Users/Jelena/Downloads\20220124_152738 (1).pdf,2587326,pdf,2022-03-09T17:16:12.634352
C:/Users/Jelena/Downloads\20220124_152738.pdf,176128,pdf,2022-03-09T17:16:12.634352
C:/Users/Jelena/Downloads\245442075_862300284435406_4449517380825962299_n.pdf,56447,pdf,2021-12-17T11:01:23.013746
C:/Users/Jelena/Downloads\3-s2.0-B9781597495868000042-f04-02-9781597495868.jpg,66452,jpg,2024-12-08T10:32:12.157580
C:/Users/Jelena/Downloads\3344.jpg,1186807,jpg,2024-12-07T18:10:46.301422
C:/Users/Jelena/Downloads\3345-removebg-preview (1).png,374493,png,2024-12-08T01:45:39.011927
C:/Users/Jelena/Downloads\3345-removebg-preview (2).png,374268,png,2024-12-08T01:45:38.963279
C:/Users/Jelena/Downloads\3345-removebg-preview.png,376018,png,2024-12-08T12:25:46.704858
C:/Users/Jelena/Downloads\3345.jpg,1520729,jpg,2024-12-07T18:10:46.337419
C:/Users/Jelena/Downloads\342987220_1221177925211124_7755766742876924763_n.jpg,909760,jpg,2024-12-07T18:10:46.265422
C:/Users/Jelena/Downloads\4.docx,15550,docx,2024-12-08T10:37:58.579996
C:/Users/Jelena/Downloads\426239_1_En_5_Fig12_HTML.png,42011,png,2024-12-08T00:36:54.910244
C:/Users/Jelena/Downloads\426239_1_En_5_Fig13_HTML.png,82949,png,2024-12-07T20:25:16.162507
C:/Users/Jelena/Downloads\426239_1_En_5_Fig2_HTML.png,38528,png,2024-12-08T00:36:54.918242
C:/Users/Jelena/Downloads\70.docx,13854,docx,2024-08-29T19:17:19.605633
C:/Users/Jelena/Downloads\aa15b-1scm0gygql81nnhlglkxv-w.png,70019,png,2024-12-08T00:36:54.902247
C:/Users/Jelena/Downloads\AgroHelp-1.pdf,555948,pdf,2024-08-19T22:22:55.916133
C:/Users/Jelena/Downloads\AgroHelp.pdf,555948,pdf,2024-02-19T23:07:59.740292
C:/Users/Jelena/Downloads\AlcalSoftOvpn.zip,6177,zip,2024-08-28T22:01:07.690367
C:/Users/Jelena/Downloads\Ascalab React exercise (1).docx,742165,docx,2024-12-08T10:37:57.821731
C:/Users/Jelena/Downloads\AscalabOVPN.zip,5792,zip,2024-08-28T22:01:07.721370
C:/Users/Jelena/Downloads\baze1.txt,4022,txt,2022-05-18T20:40:06.128660
C:/Users/Jelena/Downloads\BazeTrigeri (1).txt,6364,txt,2023-06-24T19:04:54.750535
C:/Users/Jelena/Downloads\bdd.png,12570,png,2024-12-07T19:45:23.452064
"C:/Users/Jelena/Downloads\bg,f8f8f8-flat,750x,075,f-pad,750x1000,f8f8f8.jpg",27890,jpg,2024-12-07T18:10:45.918840
C:/Users/Jelena/Downloads\biografija.docx,13268,docx,2024-05-16T22:48:25.811921
C:/Users/Jelena/Downloads\Black White Minimalist CV Resume.pdf,139086,pdf,2023-12-21T22:26:24.973201
C:/Users/Jelena/Downloads\bom.png,64804,png,2024-12-07T19:45:23.469054
C:/Users/Jelena/Downloads\BusinessDataDiagram.pdf,9601,pdf,2024-08-19T22:35:22.652520
C:/Users/Jelena/Downloads\BusinessObjectiveModel.pdf,83104,pdf,2024-08-19T22:26:29.474045
C:/Users/Jelena/Downloads\CaptureTata.png,143230,png,2024-08-21T20:42:04.781476
C:/Users/Jelena/Downloads\Coming pitanja (1).txt,4887,txt,2024-02-04T23:23:39.232250
C:/Users/Jelena/Downloads\Coming pitanja.txt,4887,txt,2023-12-21T22:26:24.192703
C:/Users/Jelena/Downloads\csf1920-3-08-ntfs_file_system_forensics.pdf,46405073,pdf,2024-12-08T20:33:20.731955
C:/Users/Jelena/Downloads\Digitalna forenzika - Forenzika fajl sistema.pdf,2466977,pdf,2024-12-08T20:32:16.489684
C:/Users/Jelena/Downloads\Digitalna Forenzika.docx,1255221,docx,2024-12-08T10:37:54.522166
C:/Users/Jelena/Downloads\Diplomski-rad-PDF.pdf,1328711,pdf,2023-12-21T22:26:22.375564
C:/Users/Jelena/Downloads\Document-untitled.pdf,43974,pdf,2022-08-12T15:32:25.581320
C:/Users/Jelena/Downloads\dombaza.txt,8395,txt,2023-12-03T23:39:37.786045
C:/Users/Jelena/Downloads\ds.txt,1860,txt,2022-05-18T20:40:06.155663
C:/Users/Jelena/Downloads\edraw-max_setup_full5371.zip,961250,zip,2024-08-28T22:01:07.789374
C:/Users/Jelena/Downloads\ext2-file-system-structure-1.jpg,79502,jpg,2024-12-08T11:40:41.210392
C:/Users/Jelena/Downloads\Extended-model-for-a-file-system-forensic-analysis-of-pooled-storage-file-systems-Hilgert.png,76457,png,2024-12-07T19:46:29.900173
C:/Users/Jelena/Downloads\fas.txt,1785,txt,2022-01-14T17:39:22.942846
C:/Users/Jelena/Downloads\FAZA1_17997_17859.rar,272571,rar,2022-12-04T01:27:14.967618
C:/Users/Jelena/Downloads\FAZA2_17997_17859.rar,331386,rar,2023-01-12T13:48:20.124297
C:/Users/Jelena/Downloads\fdfg.txt,1228,txt,2021-12-17T11:01:21.911113
C:/Users/Jelena/Downloads\File System Forensic Analysis.pdf,4220759,pdf,2024-12-08T20:32:29.309256
C:/Users/Jelena/Downloads\File+Allocation+Table.jpg,65976,jpg,2024-12-08T20:32:13.299904
C:/Users/Jelena/Downloads\File-System.png,20851,png,2024-12-08T11:40:41.189402
C:/Users/Jelena/Downloads\FlowDiagram - Administrator (1).pdf,19387,pdf,2024-08-19T22:38:04.081540
C:/Users/Jelena/Downloads\FlowDiagram - Firme Organizacije (1).pdf,25985,pdf,2024-08-19T22:36:59.160040
C:/Users/Jelena/Downloads\FlowDiagram - Logovanje Registracija.pdf,26773,pdf,2024-08-19T22:36:34.147490
C:/Users/Jelena/Downloads\FlowDiagram - Medicinsko osoblje (1).pdf,30828,pdf,2024-08-19T22:36:27.769187
C:/Users/Jelena/Downloads\FlowDiagram - Pacijent (1).pdf,59246,pdf,2024-08-19T22:36:16.177016
C:/Users/Jelena/Downloads\I domaci Jelena Stojkovic 17997.pdf,597636,pdf,2022-06-06T18:02:20.714561
C:/Users/Jelena/Downloads\I.docx,13902,docx,2024-05-25T13:51:38.406811
C:/Users/Jelena/Downloads\IIFazaInformacioni-converted.pdf,681060,pdf,2022-07-18T16:15:33.754737
C:/Users/Jelena/Downloads\IIIb 1. verzija.pdf,125165,pdf,2023-12-21T22:26:24.052079
C:/Users/Jelena/Downloads\image22.png,58228,png,2024-12-08T00:36:54.889243
C:/Users/Jelena/Downloads\immunization-report-1644880295946.pdf,962410,pdf,2022-03-09T17:15:44.480676
C:/Users/Jelena/Downloads\insertt.txt,9676,txt,2023-06-24T19:04:54.849645
C:/Users/Jelena/Downloads\Inteligentni Sistemi Final.docx,29537,docx,2024-12-08T10:37:55.077693
C:/Users/Jelena/Downloads\Inzenjerstvo zahteva konacna verzija.docx,1263415,docx,2024-12-08T10:37:55.325772
C:/Users/Jelena/Downloads\InzZaht 73-79 Teodora.docx,756152,docx,2024-12-08T10:37:55.660511
C:/Users/Jelena/Downloads\InzZaht Konacno.docx,859413,docx,2024-12-08T10:37:55.376836
C:/Users/Jelena/Downloads\ispitna_pitanja - Copy.docx,97801,docx,2024-08-29T19:17:18.813916
C:/Users/Jelena/Downloads\ispitna_pitanja.docx,97801,docx,2024-08-29T19:17:19.407595
C:/Users/Jelena/Downloads\IZ Predlog Projekta (2023).docx,15886,docx,2024-12-08T10:37:54.863941
C:/Users/Jelena/Downloads\IZ Predlog Teme Projekta EcoLink.pdf,170677,pdf,2024-04-28T20:07:33.189686
C:/Users/Jelena/Downloads\IZ Predlog Teme Projekta NAZIV.docx,13890,docx,2024-12-08T10:37:54.823699
C:/Users/Jelena/Downloads\izmenjene createtable.txt,4519,txt,2023-06-24T19:04:54.559512
C:/Users/Jelena/Downloads\Izveštaj o realizaciji stručne prakse Jelena.docx,897766,docx,2024-12-08T10:37:57.584968
C:/Users/Jelena/Downloads\Izveštaj o realizaciji stručne prakse Jelena.pdf,1073100,pdf,2023-12-10T13:53:40.750865
C:/Users/Jelena/Downloads\Izveštaj o realizaciji stručne prakse Teodora.pdf,1099183,pdf,2024-08-24T22:30:34.756552
C:/Users/Jelena/Downloads\Izveštaj o realizaciji stručne prakse.docx,710759,docx,2024-12-08T10:37:57.907157
C:/Users/Jelena/Downloads\Jela.zip,6524406,zip,2024-08-28T22:01:07.844375
C:/Users/Jelena/Downloads\Jelena Stojkovic 17997.docx,17532,docx,2024-05-16T22:48:26.033925
C:/Users/Jelena/Downloads\Jelena Stojkovic CV (1).docx,22460,docx,2024-08-29T19:17:17.758513
C:/Users/Jelena/Downloads\Jelena Stojkovic CV (1).pdf,302779,pdf,2023-12-21T22:26:26.110320
C:/Users/Jelena/Downloads\Jelena Stojkovic CV (2).pdf,302779,pdf,2023-06-18T20:04:30.349004
C:/Users/Jelena/Downloads\Jelena Stojkovic CV.docx,26363,docx,2024-08-29T19:17:17.694130
C:/Users/Jelena/Downloads\Jelena Stojkovic CV.pdf,51139,pdf,2023-01-22T14:41:42.619900
C:/Users/Jelena/Downloads\Jelena Stojkovic.pdf,338998,pdf,2023-03-15T12:56:09.167822
C:/Users/Jelena/Downloads\Jelena StojkovicCV.pdf,139571,pdf,2023-12-06T19:59:17.080626
C:/Users/Jelena/Downloads\JELENA-STOJKOVIĆ.pdf,64373,pdf,2023-12-21T22:26:19.844480
C:/Users/Jelena/Downloads\JelenaStojkovicCV.pdf,139081,pdf,2023-12-21T22:26:24.439877
C:/Users/Jelena/Downloads\jun-2-2022 (3).txt,2849,txt,2023-10-12T10:43:42.326199
C:/Users/Jelena/Downloads\KorisnickiProfil.js,5371,js,2023-12-21T22:26:20.705955
C:/Users/Jelena/Downloads\LOC_sample_submission.csv.zip,250847,zip,2024-08-28T22:01:07.920374
C:/Users/Jelena/Downloads\MicrosoftTeams-image.png,272535,png,2024-08-21T20:42:24.003222
C:/Users/Jelena/Downloads\Mina-diplomski-rad-zavrseno.docx,1259343,docx,2024-05-16T22:48:25.931925
C:/Users/Jelena/Downloads\Mina.jpg.pdf,56588,pdf,2023-12-21T22:26:20.815332
C:/Users/Jelena/Downloads\ml_link_cv.zip,358998,zip,2024-08-28T22:01:07.956370
C:/Users/Jelena/Downloads\model poslovnog cilja.docx,17132,docx,2024-12-08T10:37:54.738158
C:/Users/Jelena/Downloads\MyItineris.pdf,576165,pdf,2024-04-28T20:07:34.278333
C:/Users/Jelena/Downloads\MySQL.pdf,1789597,pdf,2022-07-18T16:15:33.945559
C:/Users/Jelena/Downloads\new 1 (1).txt,1819,txt,2023-02-16T16:13:19.720820
C:/Users/Jelena/Downloads\New Text Document (2).txt,2806,txt,2023-12-21T22:26:20.737251
C:/Users/Jelena/Downloads\ntfs_record_en.png,9447,png,2024-12-08T10:32:07.997741
C:/Users/Jelena/Downloads\ob.docx,15015,docx,2024-08-29T19:17:19.531581
C:/Users/Jelena/Downloads\OS - parcijalni + blanketi.rar,25553045,rar,2021-12-07T14:14:18.688812
C:/Users/Jelena/Downloads\OS.zip,464678015,zip,2024-08-28T22:01:07.982380
C:/Users/Jelena/Downloads\PDF-Mina-diplomski-rad-zavrseno.pdf,1333417,pdf,2023-12-21T22:26:23.399508
C:/Users/Jelena/Downloads\Plan iterativnog razvoja-1.pdf,128212,pdf,2024-08-19T22:15:44.476763
C:/Users/Jelena/Downloads\Plan iterativnog razvoja.pdf,128212,pdf,2024-08-19T21:49:23.161691
C:/Users/Jelena/Downloads\PlantPro.pdf,204272,pdf,2024-02-19T22:38:32.990665
